Date,Name,Year,Letterboxd URI,Rating
2023-07-08,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,5
2023-07-09,Le Samouraï,1967,https://boxd.it/22ZI,5
2023-07-11,Déjà Vu,2006,https://boxd.it/20PQ,5
2023-07-13,Who Framed Roger Rabbit,1988,https://boxd.it/29ry,5
2023-07-25,The Fog,1980,https://boxd.it/29Cc,5
2023-07-30,Uncut Gems,2019,https://boxd.it/gXGc,5
2023-07-31,Vanilla Sky,2001,https://boxd.it/27TK,5
2023-08-10,Hoop Dreams,1994,https://boxd.it/1Opc,5
2023-09-01,The Assassination of Jesse James by the Coward Robert Ford,2007,https://boxd.it/24dG,5
2023-09-11,The Player,1992,https://boxd.it/1WlM,5
2023-09-14,Fallen Angels,1995,https://boxd.it/1UkW,5
2023-09-18,Yi Yi,2000,https://boxd.it/1vCw,5
2023-09-19,Le Doulos,1962,https://boxd.it/1CVg,5
2023-09-21,Le Trou,1960,https://boxd.it/1nSw,5
2023-09-22,The Killing,1956,https://boxd.it/2aMi,5
2023-09-23,The Wages of Fear,1953,https://boxd.it/2aSK,5
2023-09-24,The 400 Blows,1959,https://boxd.it/2b1C,5
2023-09-24,Cléo from 5 to 7,1962,https://boxd.it/2agm,5
2023-09-25,Elevator to the Gallows,1958,https://boxd.it/294u,5
2023-09-26,Pierrot le Fou,1965,https://boxd.it/26j2,5
2023-09-27,Contempt,1963,https://boxd.it/2aJe,5
2023-09-28,La Chinoise,1967,https://boxd.it/28rC,5
2023-10-03,Diabolique,1955,https://boxd.it/29we,5
2023-10-08,Bob le Flambeur,1956,https://boxd.it/1uC6,5
2023-10-10,Showing Up,2022,https://boxd.it/tJ1q,5
2023-10-11,Wendy and Lucy,2008,https://boxd.it/1Zx2,5
2023-10-15,M,1931,https://boxd.it/29vq,5
2023-10-19,Porco Rosso,1992,https://boxd.it/1Tp2,5
2023-10-22,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,5
2023-10-31,L'Avventura,1960,https://boxd.it/23hs,5
2023-11-04,Mission: Impossible II,2000,https://boxd.it/29cS,5
2023-11-06,Final Destination,2000,https://boxd.it/1YrC,5
2023-11-06,Final Destination 2,2003,https://boxd.it/1YSS,5
2023-11-07,Final Destination 3,2006,https://boxd.it/1Z40,5
2023-11-07,Final Destination 5,2011,https://boxd.it/r1k,5
2023-11-08,The Bling Ring,2013,https://boxd.it/3lPY,5
2023-11-10,Mission: Impossible – Ghost Protocol,2011,https://boxd.it/psI,5
2023-11-28,Rashomon,1950,https://boxd.it/2a9K,5
2023-11-29,Princess Mononoke,1997,https://boxd.it/2b4w,5
2023-11-30,Riki-Oh: The Story of Ricky,1991,https://boxd.it/1IDs,5
2023-12-01,Kiki's Delivery Service,1989,https://boxd.it/1JAY,5
2023-12-03,The Castle of Cagliostro,1979,https://boxd.it/1Mn4,5
2023-12-04,May December,2023,https://boxd.it/vEE2,5
2023-12-04,The Holdovers,2023,https://boxd.it/vHza,5
2023-12-05,"Are You There God? It's Me, Margaret.",2023,https://boxd.it/kiYC,5
2023-12-06,Killers of the Flower Moon,2023,https://boxd.it/gHp0,5
2023-12-07,Oppenheimer,2023,https://boxd.it/wUow,5
2023-12-08,The House of Yes,1997,https://boxd.it/1fGM,5
2023-12-09,Henry Fool,1997,https://boxd.it/18ow,5
2023-12-12,Kiss Me Deadly,1955,https://boxd.it/1HHe,5
2023-12-13,The Daytrippers,1996,https://boxd.it/F9i,5
2023-12-14,Notorious,1946,https://boxd.it/2aDK,5
2023-12-15,Dial M for Murder,1954,https://boxd.it/2adW,5
2023-12-15,To Catch a Thief,1955,https://boxd.it/2avm,5
2023-12-16,Shadow of a Doubt,1943,https://boxd.it/1BtA,5
2023-12-17,Scarface,1983,https://boxd.it/2b7g,5
2023-12-18,Smiley Face,2007,https://boxd.it/1QG0,5
2023-12-19,Midnight in Paris,2011,https://boxd.it/i4a,5
2023-12-19,Rosemary's Baby,1968,https://boxd.it/29zM,5
2023-12-20,A Fistful of Dollars,1964,https://boxd.it/2auo,5
2023-12-21,The Ruins,2008,https://boxd.it/1UvA,5
2023-12-22,Freeway II: Confessions of a Trickbaby,1999,https://boxd.it/12To,5
2023-12-23,But I'm a Cheerleader,1999,https://boxd.it/1CW4,5
2023-12-23,Slums of Beverly Hills,1998,https://boxd.it/1NCO,5
2023-12-25,It's a Wonderful Life,1946,https://boxd.it/28xA,5
2023-12-26,Darkman,1990,https://boxd.it/1YnK,5
2023-12-27,Crumb,1994,https://boxd.it/1tDi,5
2023-12-29,Clockwatchers,1997,https://boxd.it/rxg,5
2023-12-29,The 39 Steps,1935,https://boxd.it/2aKc,5
2023-12-31,The Hudsucker Proxy,1994,https://boxd.it/1SJA,5
2024-01-01,Waiting for Guffman,1996,https://boxd.it/1K4E,5
2024-01-01,Best in Show,2000,https://boxd.it/1Pqq,5
